"","Year","OPCS","Description","FCE","Admissions","Male","Female","Gender Unknown","Emergency","Waiting list","Planned","Other Admission Method","Mean time waited","Median time waited","Mean length of stay","Median length of stay","Mean age","Age 0","Age 1-4","Age 5-9","Age 10-14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20-24","Age 25-29","Age 30-34","Age 35-39","Age 40-44","Age 45-49","Age 50-54","Age 55-59","Age 60-64","Age 65-69","Age 70-74","Age 75-79","Age 80-84","Age 85-89","Age 90+","Day case","FCE bed days","EmergencyDC","ElectiveDC","OtherDC","class1","elective","new_daycase","inpatient","daycase","class2","class3","class4","proc_group"
"1","2014","A01","Major excision of tissue of brain",316,292,181,135,0,38,216,23,15,96,65,10.5,7,39,1,17,18,13,4,3,2,1,0,21,20,25,30,30,22,27,26,20,21,6,8,1,0,0,0,3065,2,0,0,53,239,0,239,0,0,0,239,"Neuro"
"2","2014","A02","Excision of lesion of tissue of brain",4221,3700,2284,1936,1,770,2290,296,344,29,12,8.7,6,49,25,111,110,91,27,12,27,19,26,113,182,213,221,292,323,400,406,481,542,342,205,41,6,0,2,33787,1,4,0,1114,2586,6,2582,4,0,2586,0,"Neuro"
"3","2014","A03","Stereotactic ablation of tissue of brain",12,12,8,4,0,0,11,1,0,109,99,4.5,4,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,4,1,0,0,0,54,0,0,0,0,12,0,12,0,0,0,12,"Neuro"
"4","2014","A04","Open biopsy of lesion of tissue of brain",618,476,350,268,0,100,297,31,48,12,7,8.6,4,57,3,5,6,9,1,1,1,1,2,9,10,14,18,35,47,66,63,66,96,85,57,14,3,0,58,4319,1,9,0,148,328,67,292,36,328,0,0,"Neuro"
"5","2014","A05","Drainage of lesion of tissue of brain",585,456,355,230,0,328,25,7,96,35,21,21.2,16,49,5,14,9,12,3,8,2,4,2,18,23,22,38,42,61,58,52,56,64,45,27,13,3,1,2,9934,1,0,0,424,32,2,32,0,0,32,0,"Neuro"
"6","2014","A06","Other excision of lesion of tissue of brain",32,26,12,20,0,0,16,7,3,60,32,6.7,4,17,16,4,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,2,0,0,0,0,1,167,0,1,0,3,23,2,22,1,0,23,0,"Neuro"
"7","2014","A07","Other open operations on tissue of brain",200,189,83,117,0,30,144,10,5,130,84,13.1,8,32,4,11,13,19,5,4,3,3,4,12,18,21,16,14,12,8,12,5,3,6,6,1,0,0,2,2381,1,0,0,35,154,2,152,2,0,0,154,"Neuro"
"8","2014","A08","Other biopsy of lesion of tissue of brain",885,739,496,389,0,181,392,71,95,16,7,9.8,4,57,1,12,11,13,4,2,0,2,4,11,22,25,24,35,49,79,95,92,168,126,74,20,1,0,34,7578,1,6,0,276,463,40,442,21,463,0,0,"Neuro"
"9","2014","A09","Neurostimulation of brain",1241,1222,721,520,0,43,796,369,14,46,28,5,3,46,0,19,57,128,21,24,27,27,3,28,21,35,35,53,94,87,105,170,139,102,51,12,1,0,320,4136,2,82,0,57,1165,402,788,377,0,1165,0,"Neuro"
"10","2014","A10","Other operations on tissue of brain",1550,1463,727,823,0,117,1127,169,50,26,21,5.8,2,52,6,24,16,31,7,10,5,6,11,38,48,54,94,96,132,147,182,184,194,133,71,41,12,5,611,5404,3,79,0,167,1296,690,719,577,1296,0,0,"Neuro"
"11","2014","A11","Operations on tissue of brain",961,865,530,430,1,426,334,59,46,70,28,9.5,4,32,11,66,55,60,13,23,14,25,19,111,87,86,48,58,75,59,42,36,26,24,12,6,3,0,4,8211,1,0,1,472,393,4,391,2,0,393,0,"Neuro"
