"","OPCS","Prop_IP","Median Mean LOS","Median Median LOS","Admissions","class1","class2","class3","class4","class1_proportion","class2_proportion","class3_proportion","class4_proportion","class1_prop_dc","class2_prop_dc","class3_prop_dc","class4_prop_dc","class1_prop_bed","class2_prop_bed","class3_prop_bed","class4_prop_bed","class1_proportional_cost","class2_proportional_cost","class3_proportional_cost","class4_proportional_cost","value"
"1","A01",0.998199819981998,8.7122641509434,6,259.6,37.4,0,174.4,47.8,4.53882393489336e-05,0,7.05664722208783e-05,5.65647092384607e-05,8.17070015282311e-08,0,1.27032353232901e-07,1.01826659295156e-07,0.000395434330554153,0,0.00061368700677142,0.000491919547753391,0.0747998184470426,0,0.116293546220008,0.0932186408249833,1648
"2","A02",0.998442771866078,8.13677248677249,5,3966.8,884.4,2565.2,517.2,0,0.00107329836578067,0.0070327017524364,0.000209271671058706,0,1.67137041128581e-06,1.09515210263742e-05,3.25883733805419e-07,0,0.00873318461278199,0.0571343840919254,0.00170014433353226,0,1.76879570680654,11.5898924880152,0.344879713904747,0,1648
"3","A03",0.981132075471698,4.5,2,23.4,2.2,0,11.2,10,2.66989643229021e-06,0,4.53179179400136e-06,1.18336211795943e-05,5.03754043828342e-08,0,8.55055055471955e-08,2.232758713131e-07,1.2014533945306e-05,0,2.00082882980437e-05,5.22465538872654e-05,0.0141157424375184,0,0.0239595832148852,0.062564355176515,5287
"4","A04",0.897896357106208,7.54564315352697,3,522.8,133,389.8,0,0,0.000161407375224817,0.00106866799590664,0,0,1.6480281000379e-05,0.000109114895426075,0,0,0.0012179224557939,0.00724044528308673,0,0,0.265999354370499,1.76116485725414,0,0,1648
"5","A05",1,21.2,15,477.8,440.6,0,37.2,0,0.000534707440030485,0,1.50520227443617e-05,0,0,0,0,0,0.0113357977286463,0,0.000319102882180467,0,2.99703520137087,0,0.0843665874821471,0,5605
"6","A06",0.904347826086957,6.7,3,26.2,3.2,0,23,0,3.88348571969486e-06,0,9.30635814839565e-06,0,3.71463851449073e-07,0,8.9017338810741e-07,0,2.60193543219555e-05,0,5.63884378939312e-05,0,NA,NA,NA,NA,NA
"7","A07",0.972067039106145,13.21875,8,137.8,30.4,0,34.6,72.8,3.68931143371011e-05,0,1.39999996493256e-05,8.61487621874464e-05,1.03053392003076e-06,0,3.91061442718594e-07,2.40639000523594e-06,0.000487680855143555,0,0.000179893151918587,0.0011069694822836,0.0607998524275426,0,0.0230719994220886,0.141973160084912,1648
"8","A08",0.949817887494941,7.43829113924051,3,700.8,206.6,494.2,0,0,0.000250727546777799,0.00135488897787855,0,0,1.25820379605209e-05,6.79911911197655e-05,0,0,0.00186498448956081,0.00957232040435612,0,0,0.413198997089813,2.23285703554386,0,0,1648
"9","A09",0.60233676975945,4.92790937178167,3,1522,67,0,1455,0,8.1310482256111e-05,0,0.000588728308952855,0,3.2334189026382e-05,0,0.000234115601072249,0,0.000400690687533977,0,0.00174749928651772,0,0.20051164924357,0,1.45180400987774,0,2466
"10","A10",0.486211512717537,14.2834645669291,6,898.4,151.4,747,0,0,0.000183737418113063,0.00204796047445423,0,0,9.4402170109496e-05,0.00105221851418411,0,0,0.00262440690123698,0.0142226450073227,0,0,0.302799265050328,3.37503886190057,0,0,1648
