"",".id","class_","march_2019","april_2020","may_2020","june_2020","july_2020","august_2020","september_2020","october_2020","november_2020","december_2020","january_2020","february_2020","Total"
"1","total_no","val","243 377 (192 480 to 308 539)","94 342 (84 689 to 105 656)","98 473 (88 411 to 110 264)","99 431 (88 945 to 111 819)","102 771 (91 823 to 115 739)","99 872 (89 131 to 112 621)","141 097 (123 131 to 169 919)","187 686 (161 860 to 234 021)","225 602 (193 017 to 287 647)","269 652 (219 544 to 354 229)","320 954 (249 682 to 431 209)","336 084 (251 648 to 459 066)","2219341 (1834361 to 2800729)"
"2","bdays","val","674 874 (575 731 to 792 195)","454 047 (412 743 to 500 865)","474 136 (431 057 to 522 959)","473 547 (429 306 to 524 105)","487 702 (441 725 to 540 388)","472 336 (427 424 to 523 916)","524 948 (471 086 to 595 008)","592 159 (528 411 to 682 305)","627 556 (557 139 to 733 557)","687 956 (590 698 to 825 927)","771 877 (638 708 to 951 627)","777 409 (622 654 to 978 739)","7018546 (6126681 to 8171592)"
"3","dcase","val","122 966 (94 418 to 161 716)","27 599 (24 051 to 31 982)","28 779 (25 084 to 33 341)","29 790 (25 847 to 34 687)","31 036 (26 890 to 36 196)","30 387 (26 292 to 35 490)","60 454 (51 054 to 77 524)","93 417 (78 272 to 123 520)","122 613 (102 308 to 164 665)","149 468 (119 396 to 204 936)","179 135 (137 641 to 249 128)","187 392 (139 279 to 263 472)","1063035 (850532 to 1416657)"
"4","cost","val","546 368 931 (421 484 207 to 695 212 910)","233 617 851 (209 490 535 to 261 965 892)","243 838 357 (218 689 876 to 273 380 264)","246 436 382 (220 199 785 to 277 506 001)","254 790 483 (227 388 674 to 287 325 154)","247 673 121 (220 780 904 to 279 667 708)","311 483 911 (273 438 015 to 367 683 110)","384 559 887 (334 490 319 to 466 928 084)","438 703 011 (378 901 606 to 543 792 703)","542 518 796 (435 112 327 to 703 562 535)","673 009 515 (506 387 039 to 901 714 778)","730 401 779 (522 628 771 to 1 000 899 463)","4853402024 (3968992057 to 6059638601)"
"5","ip","val","120 411 (98 062 to 146 823)","66 743 (60 638 to 73 674)","69 694 (63 327 to 76 923)","69 641 (63 098 to 77 132)","71 735 (64 933 to 79 543)","69 485 (62 839 to 77 131)","80 643 (72 077 to 92 395)","94 269 (83 588 to 110 501)","102 989 (90 709 to 122 982)","120 184 (100 148 to 149 293)","141 819 (112 041 to 182 081)","148 692 (112 369 to 195 594)","1156305 (983828 to 1384071)"
"6","ITU","val","2 933 (2 621 to 3 286)","2 272 (2 106 to 2 446)","2 374 (2 203 to 2 557)","2 331 (2 158 to 2 515)","2 389 (2 209 to 2 574)","2 300 (2 129 to 2 481)","2 429 (2 239 to 2 655)","2 650 (2 432 to 2 923)","2 719 (2 485 to 3 030)","2 925 (2 610 to 3 326)","3 137 (2 730 to 3 654)","3 063 (2 594 to 3 633)","31522 (28516 to 35080)"
"7","ppe_l","val","3 894 032 (3 079 680 to 4 936 624)","1 509 472 (1 355 024 to 1 690 496)","1 575 568 (1 414 576 to 1 764 224)","1 590 896 (1 423 120 to 1 789 104)","1 644 336 (1 469 168 to 1 851 824)","1 597 952 (1 426 096 to 1 801 936)","2 257 552 (1 970 096 to 2 718 704)","3 002 976 (2 589 760 to 3 744 336)","3 609 632 (3 088 272 to 4 602 352)","4 314 432 (3 512 704 to 5 667 664)","5 135 264 (3 994 912 to 6 899 344)","5 377 344 (4 026 368 to 7 345 056)","35509456 (29349776 to 44811664)"
"8","bdcost_l","val","29 341 896 (23 895 719 to 35 777 858)","16 263 879 (14 776 215 to 17 953 016)","16 983 160 (15 431 582 to 18 744 530)","16 970 274 (15 375 706 to 18 795 627)","17 480 366 (15 822 847 to 19 382 988)","16 932 179 (15 312 711 to 18 795 295)","19 651 057 (17 563 775 to 22 514 884)","22 971 518 (20 368 808 to 26 926 900)","25 096 470 (22 103 970 to 29 968 370)","29 286 584 (24 404 238 to 36 379 895)","34 558 408 (27 302 154 to 44 369 575)","36 233 414 (27 382 050 to 47 662 360)","281769205 (239739775 to 337271298)"
"9","ppe_h","val","7 788 064 (6 159 360 to 9 873 248)","3 018 944 (2 710 048 to 3 380 992)","3 151 136 (2 829 152 to 3 528 448)","3 181 792 (2 846 240 to 3 578 208)","3 288 672 (2 938 336 to 3 703 648)","3 195 904 (2 852 192 to 3 603 872)","4 515 104 (3 940 192 to 5 437 408)","6 005 952 (5 179 520 to 7 488 672)","7 219 264 (6 176 544 to 9 204 704)","8 628 864 (7 025 408 to 11 335 328)","10 270 528 (7 989 824 to 13 798 688)","10 754 688 (8 052 736 to 14 690 112)","71018912 (58699552 to 89623328)"
"10","bdcost_h","val","45 731 064 (37 242 878 to 55 761 886)","25 348 209 (23 029 595 to 27 980 827)","26 469 248 (24 051 025 to 29 214 447)","26 449 165 (23 963 939 to 29 294 084)","27 244 174 (24 660 834 to 30 209 522)","26 389 793 (23 865 758 to 29 293 567)","30 627 321 (27 374 170 to 35 090 764)","35 802 456 (31 745 981 to 41 967 149)","39 114 319 (34 450 333 to 46 707 460)","45 644 856 (38 035 435 to 56 700 196)","53 861 304 (42 552 008 to 69 152 581)","56 471 897 (42 676 528 to 74 284 578)","439153806 (373648484 to 525657061)"
"11","swabs","val","486 754 (384 960 to 617 078)","188 684 (169 378 to 211 312)","196 946 (176 822 to 220 528)","198 862 (177 890 to 223 638)","205 542 (183 646 to 231 478)","199 744 (178 262 to 225 242)","282 194 (246 262 to 339 838)","375 372 (323 720 to 468 042)","451 204 (386 034 to 575 294)","539 304 (439 088 to 708 458)","641 908 (499 364 to 862 418)","672 168 (503 296 to 918 132)","4438682 (3668722 to 5601458)"
"12","swabscost","val","10 151 517 (8 028 548 to 12 869 495)","3 935 107 (3 532 469 to 4 407 026)","4 107 415 (3 687 718 to 4 599 230)","4 147 375 (3 709 992 to 4 664 091)","4 286 690 (3 830 037 to 4 827 599)","4 165 769 (3 717 751 to 4 697 544)","5 885 308 (5 135 928 to 7 087 505)","7 828 586 (6 751 355 to 9 761 268)","9 410 103 (8 050 947 to 11 998 067)","11 247 476 (9 157 417 to 14 775 275)","13 387 338 (10 414 506 to 17 986 193)","14 018 426 (10 496 509 to 19 148 138)","92571110 (76513177 to 116821431)"
"13","ct","val","23 609 (22 390 to 24 829)","21 920 (20 480 to 23 360)","22 912 (21 407 to 24 417)","22 325 (20 858 to 23 791)","22 802 (21 304 to 24 299)","21 908 (20 469 to 23 347)","22 178 (20 722 to 23 635)","23 302 (21 771 to 24 832)","23 062 (21 547 to 24 577)","23 501 (21 958 to 25 045)","23 478 (21 936 to 25 020)","21 498 (20 086 to 22 910)","272495 (254928 to 290062)"
