"",".id","class_","march_2019","april_2020","may_2020","june_2020","july_2020","august_2020","september_2020","october_2020","november_2020","december_2020","january_2020","february_2020"
"1","total_no","val","149 204 (105 728 to 206 106)","416 771 (284 279 to 599 797)","695 052 (469 979 to 1 009 251)","981 481 (660 871 to 1 431 073)","1 266 793 (850 772 to 1 851 635)","1 534 267 (1 028 567 to 2 246 269)","1 771 452 (1 180 008 to 2 599 162)","1 981 161 (1 306 595 to 2 914 366)","2 150 540 (1 400 195 to 3 172 724)","2 235 580 (1 440 230 to 3 305 471)","2 298 067 (1 469 650 to 3 403 014)","2 328 193 (1 483 834 to 3 450 042)"
"2","bdays","val","210 547 (143 876 to 292 608)","584 294 (379 079 to 846 717)","973 006 (623 700 to 1 423 014)","1 369 659 (872 278 to 2 012 410)","1 761 292 (1 116 653 to 2 595 703)","2 125 143 (1 342 685 to 3 138 922)","2 456 761 (1 539 788 to 3 638 701)","2 764 480 (1 713 360 to 4 106 531)","3 030 177 (1 852 726 to 4 515 062)","3 177 387 (1 922 027 to 4 744 855)","3 285 556 (1 972 957 to 4 913 708)","3 337 706 (1 997 510 to 4 995 117)"
"3","dcase","val","96 974 (71 054 to 132 677)","268 910 (191 293 to 383 405)","447 731 (316 346 to 644 171)","632 039 (445 142 to 913 117)","815 881 (573 518 to 1 181 565)","988 471 (693 947 to 1 433 754)","1 137 530 (794 275 to 1 653 281)","1 264 209 (875 032 to 1 841 815)","1 360 482 (930 861 to 1 987 516)","1 403 953 (951 326 to 2 055 374)","1 435 895 (966 365 to 2 105 236)","1 451 295 (973 616 to 2 129 276)"
"4","cost","val","313 652 684 (207 283 723 to 441 845 550)","891 421 270 (558 100 521 to 1 306 717 159)","1 492 324 940 (922 963 632 to 2 206 217 802)","2 110 140 475 (1 297 198 557 to 3 132 113 857)","2 724 857 914 (1 668 653 766 to 4 054 463 327)","3 300 488 852 (2 015 634 108 to 4 919 208 952)","3 836 515 282 (2 325 783 809 to 5 730 737 258)","4 342 289 487 (2 604 374 326 to 6 502 597 438)","4 788 434 458 (2 834 551 401 to 7 190 253 056)","5 042 726 142 (2 954 266 897 to 7 587 201 060)","5 229 578 499 (3 042 239 888 to 7 878 879 961)","5 319 663 063 (3 084 653 732 to 8 019 505 894)"
"5","ip","val","52 230 (34 674 to 73 429)","147 861 (92 986 to 216 392)","247 321 (153 633 to 365 080)","349 442 (215 729 to 517 956)","450 912 (277 254 to 670 070)","545 796 (334 620 to 812 515)","633 922 (385 733 to 945 881)","716 952 (431 563 to 1 072 551)","790 058 (469 334 to 1 185 208)","831 627 (488 904 to 1 250 097)","862 172 (503 285 to 1 297 778)","876 898 (510 218 to 1 320 766)"
"6","ITU","val","523 (346 to 735)","1 479 (931 to 2 163)","2 474 (1 536 to 3 650)","3 494 (2 158 to 5 180)","4 509 (2 773 to 6 701)","5 458 (3 346 to 8 125)","6 340 (3 857 to 9 458)","7 169 (4 315 to 10 725)","7 901 (4 694 to 11 851)","8 316 (4 890 to 12 500)","8 622 (5 033 to 12 977)","8 769 (5 103 to 13 207)"
"7","ppe_l","val","2 387 264 (1 691 648 to 3 297 696)","6 668 336 (4 548 464 to 9 596 752)","11 120 832 (7 519 664 to 16 148 016)","15 703 696 (10 573 936 to 22 897 168)","20 268 688 (13 612 352 to 29 626 160)","24 548 272 (16 457 072 to 35 940 304)","28 343 232 (18 880 128 to 41 586 592)","31 698 576 (20 905 520 to 46 629 856)","34 408 640 (22 403 120 to 50 763 584)","35 769 280 (23 043 680 to 52 887 536)","36 769 072 (23 514 400 to 54 448 224)","37 251 088 (23 741 344 to 55 200 672)"
"8","bdcost_l","val","12 727 403 (8 449 466 to 17 893 134)","36 030 816 (22 658 971 to 52 730 626)","60 267 349 (37 437 410 to 88 963 002)","85 152 301 (52 568 959 to 126 215 878)","109 878 405 (67 561 294 to 163 282 948)","132 999 962 (81 540 277 to 197 994 178)","154 474 459 (93 995 575 to 230 492 863)","174 707 258 (105 163 566 to 261 359 873)","192 521 753 (114 367 605 to 288 812 131)","202 651 317 (119 136 383 to 304 624 327)","210 094 473 (122 640 757 to 316 243 188)","213 682 940 (124 330 288 to 321 844 941)"
"9","ppe_h","val","4 774 528 (3 383 296 to 6 595 392)","13 336 672 (9 096 928 to 19 193 504)","22 241 664 (15 039 328 to 32 296 032)","31 407 392 (21 147 872 to 45 794 336)","40 537 376 (27 224 704 to 59 252 320)","49 096 544 (32 914 144 to 71 880 608)","56 686 464 (37 760 256 to 83 173 184)","63 397 152 (41 811 040 to 93 259 712)","68 817 280 (44 806 240 to 101 527 168)","71 538 560 (46 087 360 to 105 775 072)","73 538 144 (47 028 800 to 108 896 448)","74 502 176 (47 482 688 to 110 401 344)"
"10","bdcost_h","val","19 836 404 (13 168 988 to 27 887 497)","56 156 138 (35 315 332 to 82 183 769)","93 930 194 (58 348 396 to 138 654 049)","132 714 848 (81 931 801 to 196 714 838)","171 251 929 (105 298 233 to 254 486 037)","207 288 228 (127 085 298 to 308 585 523)","240 757 488 (146 497 608 to 359 236 626)","272 291 492 (163 903 577 to 407 344 667)","300 056 426 (178 248 611 to 450 130 619)","315 843 944 (185 681 030 to 474 774 852)","327 444 539 (191 142 802 to 492 883 529)","333 037 375 (193 776 035 to 501 614 189)"
"11","swabs","val","298 408 (211 456 to 412 212)","833 542 (568 558 to 1 199 594)","1 390 104 (939 958 to 2 018 502)","1 962 962 (1 321 742 to 2 862 146)","2 533 586 (1 701 544 to 3 703 270)","3 068 534 (2 057 134 to 4 492 538)","3 542 904 (2 360 016 to 5 198 324)","3 962 322 (2 613 190 to 5 828 732)","4 301 080 (2 800 390 to 6 345 448)","4 471 160 (2 880 460 to 6 610 942)","4 596 134 (2 939 300 to 6 806 028)","4 656 386 (2 967 668 to 6 900 084)"
